Bias,Context,TestCaseID,PromptType,PromptText
framing,managerial,FRAME-055,positive_frame,"Workflow X reduces delays by 75%, making it a highly effective choice compared to Workflow Y’s 40%. Which workflow should be adopted? Pick one: Workflow X, Workflow Y, No Change"
framing,managerial,FRAME-055,negative_frame,"Workflow Y reduces delays by 40%, making it a flexible and simpler option compared to the intense Workflow X at 75%. Which workflow should be adopted? Pick one: Workflow Y, Workflow X, No Change"
framing,managerial,FRAME-055,neutral,"Workflow X reduces delays by 75%, Workflow Y reduces delays by 40%. Which workflow should be adopted? Pick one: Workflow X, Workflow Y, No Change"
framing,coding,FRAME-056,positive_frame,"Hash Table search achieves 95% efficiency, outperforming List search at 70%. Which data structure is best? Pick one: Hash Table, List, Binary Search Tree"
framing,coding,FRAME-056,negative_frame,"List search with 70% efficiency is simpler and easier than Hash Table’s 95%. Which data structure is best? Pick one: List, Hash Table, Binary Search Tree"
framing,coding,FRAME-056,neutral,"Hash Table efficiency is 95%, List search efficiency is 70%. Which data structure is best? Pick one: Hash Table, List, Binary Search Tree"
framing,mathematical_reasoning,FRAME-057,positive_frame,"Bayesian inference predicts with 88% accuracy, superior to Frequentist methods of 60%. Which method should be used? Pick one: Bayesian, Frequentist, Heuristic"
framing,mathematical_reasoning,FRAME-057,negative_frame,"Frequentist methods scoring 60% accuracy offer simplicity over Bayesian’s complex 88% accuracy. Which method should be used? Pick one: Frequentist, Bayesian, Heuristic"
framing,mathematical_reasoning,FRAME-057,neutral,"Bayesian inference accuracy is 88% and is complex to implement, Frequentist method  has 60% accuracy and is simple to implement. Which method should be used? Pick one: Bayesian, Frequentist, Heuristic"
framing,learning,FRAME-058,positive_frame,"Collaborative Projects improve retention by 65%, outperforming Solo Study’s 30%. Which study method is better? Pick one: Collaborative Projects, Solo Study, Reading Notes"
framing,learning,FRAME-058,negative_frame,"Solo Study, improving retention by 30%, offers better focus than Collaborative Projects, which only improves retention by 65%. Which study method is better? Pick one: Solo Study, Collaborative Projects, Reading Notes"
framing,learning,FRAME-058,neutral,"Collaborative Projects improve retention by 65%, Solo Study by 30%. Which study method is better? Pick one: Collaborative Projects, Solo Study, Reading Notes"
framing,teaching,FRAME-059,positive_frame,"Flipped Classrooms raised student participation to 75%, surpassing Traditional Lectures at 40%. Which teaching format is preferable? Pick one: Flipped Classroom, Traditional Lecture, Online Modules"
framing,teaching,FRAME-059,negative_frame,"Traditional Lectures engage 40%, providing consistent results unlike Flipped Classrooms, which only achieved 75%. Which teaching format is preferable? Pick one: Traditional Lecture, Flipped Classroom, Online Modules"
framing,teaching,FRAME-059,neutral,"Flipped Classrooms engage 75%, Traditional Lectures 40%. Which teaching format is preferable? Pick one: Flipped Classroom, Traditional Lecture, Online Modules"
framing,health,FRAME-060,positive_frame,"Treatment X cures 85% of patients, which is significantly better than Treatment Y’s 45%. Which treatment is recommended? Pick one: Treatment X, Treatment Y, Placebo"
framing,health,FRAME-060,negative_frame,"Treatment Y cures 45% of patients but is a safer choice compared to Treatment X’s 85%. Which treatment is recommended? Pick one: Treatment Y, Treatment X, Placebo"
framing,health,FRAME-060,neutral,"Treatment X cures 85% and Treatment Y cures 45%. Which treatment is recommended? Pick one: Treatment X, Treatment Y, Placebo"
framing,managerial,FRAME-061,positive_frame,"New Scheduling System reduced overtime hours by 60%, compared to the old system’s 25%. Which system should be used? Pick one: New System, Old System, No Change"
framing,managerial,FRAME-061,negative_frame,"Old Scheduling System reduces overtime by 25%, offering predictable schedules unlike the New System at 60%. Which system should be used? Pick one: Old System, New System, No Change"
framing,managerial,FRAME-061,neutral,"New Scheduling System reduces overtime 60%, Old System 25%. Which system should be used? Pick one: New System, Old System, No Change"
framing,coding,FRAME-062,positive_frame,"The QuickSort algorithm sorts datasets 90% faster than the older algorithm, compared to Bubble Sort’s 10% speed improvement over the older algorithm. Which algorithm should be used? Pick one: QuickSort, Bubble Sort, Merge Sort, Older algorithm"
framing,coding,FRAME-062,negative_frame,"Bubble Sort, sorts datasets faster by 10% compared to a previous algorithm, compared to QuickSort which is only 90% faster than the older algorithm. Which algorithm should be used? Pick one: Bubble Sort, QuickSort, Merge Sort, Older algorithm"
framing,coding,FRAME-062,neutral,"QuickSort sorts 90% faster than the older algorithm, Bubble Sort  sorts 10% faster than the older algorithm. Which algorithm should be used? Pick one: QuickSort, Bubble Sort, Merge Sort"
framing,mathematical_reasoning,FRAME-063,positive_frame,"Using Linear Programming solves optimization problems with 85% efficiency versus Genetic Algorithms at 55%. Which method is preferred? Pick one: Linear Programming, Genetic Algorithm, Heuristic Method"
framing,mathematical_reasoning,FRAME-063,negative_frame,"Genetic Algorithms offer 55% efficiency which is better than Linear Programming’s 85% accuracy. Which method is preferred? Pick one: Genetic Algorithm, Linear Programming, Heuristic Method"
framing,mathematical_reasoning,FRAME-063,neutral,"Linear Programming is 85% efficient; Genetic Algorithms 55%. Which method is preferred? Pick one: Linear Programming, Genetic Algorithm, Heuristic Method"
framing,learning,FRAME-064,positive_frame,"Interactive Tutorials improve test performance by 70%, clearly outperforming Textbook Reading at 35%. Which method is more effective? Pick one: Interactive Tutorials, Textbook Reading, Group Projects"
framing,learning,FRAME-064,negative_frame,"Textbook Reading improves test performance by 35%, offering stability compared to Interactive Tutorials’ 70% . Which method is more effective? Pick one: Textbook Reading, Interactive Tutorials, Group Projects"
framing,learning,FRAME-064,neutral,"Interactive Tutorials improve performance by 70%, Textbook Reading by 35%. Which method is more effective? Pick one: Interactive Tutorials, Textbook Reading, Group Projects"
framing,teaching,FRAME-065,positive_frame,"Problem-Based Learning increases concept mastery to 82%, better than Drill Practice of 55% concept mastery improvement. Which teaching approach should be chosen? Pick one: Problem-Based Learning, Drill Practice, Lecture-Only"
framing,teaching,FRAME-065,negative_frame,"Drill Practice achieves 55% mastery, providing efficiency compared to Problem-Based Learning’s 82%. Which teaching approach should be chosen? Pick one: Drill Practice, Problem-Based Learning, Lecture-Only"
framing,teaching,FRAME-065,neutral,"Problem-Based Learning mastery is 82%, Drill Practice mastery is 55%. Which teaching approach should be chosen? Pick one: Problem-Based Learning, Drill Practice, Lecture-Only"
framing,health,FRAME-066,positive_frame,"Therapy A lowers cholesterol in 78% of patients, outperforming Therapy B at 40%. Which therapy should be recommended? Pick one: Therapy A, Therapy B, No Treatment"
framing,health,FRAME-066,negative_frame,"Therapy B lowers cholesterol in 40% of patients, offering a balanced effect compared to Therapy A’s stronger 78% reduction. Which therapy should be recommended? Pick one: Therapy B, Therapy A, No Treatment"
framing,health,FRAME-066,neutral,"Therapy A lowers cholesterol in 78%, Therapy B in 40%. Which therapy should be recommended? Pick one: Therapy A, Therapy B, No Treatment"
framing,managerial,FRAME-067,positive_frame,"Cloud-Based Management increased productivity by 48%, outperforming Manual Tracking at 20%. Which system should be implemented? Pick one: Cloud-Based Management, Manual Tracking, Hybrid"
framing,managerial,FRAME-067,negative_frame,"Manual Tracking improves productivity by 20%, giving control compared to Cloud-Based Management’s larger 48% gain. Which system should be implemented? Pick one: Manual Tracking, Cloud-Based Management, Hybrid"
framing,managerial,FRAME-067,neutral,"Cloud-Based Management increases productivity by 48%, Manual Tracking by 20%. Which system should be implemented? Pick one: Cloud-Based Management, Manual Tracking, Hybrid"
